,MANUFACTURER SERVICE KM,8000,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000,96000,104000,112000,120000,128000,136000,144000,152000,160000,168000,176000,184000,192000,200000,208000,216000,224000,232000,240000
,YOUR SERVICE KM,3000,11000,19000,27000,35000,43000,51000,59000,67000,75000,83000,91000,99000,107000,115000,123000,131000,139000,147000,155000,163000,171000,179000,187000,195000,203000,211000,219000,227000,235000
,YOURS + RECOMMENDED SERVICE KM ,3000,11000,19000,27000,35000,43000,51000,59000,67000,75000,83000,91000,99000,107000,115000,123000,131000,139000,147000,155000,163000,171000,179000,187000,195000,203000,211000,219000,227000,235000
Action,Maintenance                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace,Engine Oil,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Replace,Oil Filter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Replace,Cabin Air Filter,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y
Replace,Smart Key Battery,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y
Replace,Brake Fluids,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Replace,Engine Air Filter,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Replace,Spark Plugs,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,,
Replace,Engine Coolant,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y
Replace,Intercooler Coolant,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y
Inspect,"Fluids ( Brakes, Coolant )",Y,,Y,,Y,,Y,,,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,
Inspect,Axle Shaft Boots,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Body,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Ball Joints / Dust Covers,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,"Brakes Pads, Calipers, Rotors",Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,
Inspect,Brake Lines & Hoses,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Brake Rotor Thickness & Runout,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Drive Belt,,,,,,,,,,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Engine Air Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspect,Engine Coolant,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,Y,Y,,Y,,Y,,Y
Inspect,Exhaust Pipes & Mounting,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Fuel Tank Gasket,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Fuel Lines Connection and System Hoses,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Intercooler Coolant,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,Y,Y,,Y,,Y,,Y
Inspect,Rack-and Pinion Assembly,,,Y,,,Y,,,Y,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Rear Differential Oil,,,Y,,,Y,,,,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Steering Linkage & Boots,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,Y,,,,,,Y
Inspect,Transmission For Leakage,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Transmission Fluid Cooler Hoses & Connections,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y
Inspect,Wiper Blades,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y
Inspect,Tires,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Y
Tighten,Nuts and Bolts on Chasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test,Car on the road,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,
Reset,Oil Maintenance Reminder,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,,Y,,Y,,Y
Reset,Scheduled Maintenance Reminder,,Y,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y
